CourseName,Description
ARAB 202,"Credit: 5 hours.
Course Description: Continuation of ARAB 201.
Prerequisite: ARAB 201"
CS 398,
KIN 494,"Credit: 1 TO 4 hours.
Course Description: Lecture course on topics of current interest; specific topics announced in the Class Schedule.
"
FSHN 595,"Credit: 1 to 4 hours.
Course Description: Studies of selected topics in Food Science. Study may be on specialized topics in any one of the following fields: food chemistry, food microbiology, nutrition, food processing/engineering. Lectures and/or laboratory.
Prerequisite: Graduate level status or consent of instructor."
IE 412,"Credit: 3 OR 4 hours.
Course Description: Operations research techniques applied to problems in manufacturing and distribution. Single and multi-stage lot sizing problems, scheduling and sequencing problems, and performance evaluation of manufacturing systems.
Prerequisite: IE 310."
ARTH 436,
ACCY 500,"Credit: 2 OR 4 hours.
Course Description: A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes.
Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department."
IB 299,"Credit: 0 TO 5 hours.
Course Description: 
"
BADM 326,"Credit: 3 hours.
Course Description: The role of pricing in contemporary marketing and major pricing decisions facing the firm; theoretical, economic, and practical methods and models for setting prices; pricing new products, initiating price changes, and responding to competitive pricing; the relationship of pricing objectives and strategies to the goals of the firm; and sealed bidding for contracts.
Prerequisite: BADM 320."
ACCY 575,"Credit: 4 hours.
Course Description: Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting.
Prerequisite: ACCY 570."
CLCV 206/CWL 206,
IS 205,"Credit: 3 hours.
Course Description: Covers common data processing methods and computing concepts used in the information sciences. Evaluates strengths and weaknesses of the techniques in the context of our discipline. No prior programming background is assumed. Course will use the Python programming language.
"
MSE 307,"Credit: 3 hours.
Course Description: Experiments using optical microscopy and various thermal and thermodynamic measuring techniques including differential scanning calorimetry. Experience with laboratory test instruments and technical communication, including reports and oral presentations.
Prerequisite: Credit or concurrent registration in MSE 201 and MSE 401."
DTX 455,"Credit: 3 OR 4 hours.
Course Description: An immersive exploration of design thinking as a method for tackling social needs and issues. Social innovation seeks to impact transformational change in underserved, underrepresented, and disadvantaged local and international communities by addressing problems too complex to be solved by traditional methods. Students in this course will work in collaborative teams to employ the human-centered design process to discover and develop innovative solutions for social problems such as poverty, homelessness, hunger, and violence.
Prerequisite: DTX 210, DTX 251, or permission by instructor."
CHBE 522,
STAT 542/ASRM 551/CSE 542,"Credit: 4 hours.
Course Description: Modern techniques of predictive modeling, classification, and clustering are discussed. Examples of these are linear regression, nonparametric regression, kernel methods, regularization, cluster analysis, classification trees, neural networks, boosting, discrimination, support vector machines, and model selection. Applications are discussed as well as computation and theory.
Prerequisite: STAT 410 and STAT 425."
STAT 409/ASRM 402,"Credit: 4 hours.
Course Description: Continuation of STAT 408. Examines parametric point and interval estimation, including maximum likelihood estimation, sufficiency, completeness, and Bayesian estimation; hypothesis testing; linear models; regression and correlation.
Prerequisite: STAT 408."
MATH 490,"Credit: 1 TO 4 hours.
Course Description: Deals with selected topics and applications of mathematics; see Class Schedule or department office for current topics.
Prerequisite: Consent of instructor."
PHIL 410,"Credit: 3 OR 4 hours.
Course Description: Intensive study of one ancient philosopher or the intensive study of a major philosophical problem through the consideration of a number of ancient philosophers; chief emphasis on Plato and/or Aristotle.
Prerequisite: One course in philosophy, preferably PHIL 203."
CI 448,"Credit: 3 hours.
Course Description: Course examines the nature and role of social studies in elementary schools, both in terms of the formal curriculum and of the impact of the school as a social system on children's social learning. Examines multiple approaches to what should be experienced and learned in social studies as well as the nature of social inquiry. Various instructional methods emphasizing direct experiences as well as reading are emphasized. Local, state, and national trends in curriculum and evaluation are addressed. Students engage in social inquiry, as well as develop, implement, and evaluate an action research project focusing in depth on a particular practice of social education.
Prerequisite: Admission to the Elementary Teacher Education Program."
CS 443,"Credit: 3 OR 4 hours.
Course Description: Fundamental concepts and basic algorithms in Reinforcement Learning (RL) - a machine learning paradigm for sequential decision-making. The goal of this course is to enable students to (1) understand the mathematical framework of RL, (2) tell what problems can be solved with RL, and how to cast these problems into the RL formulation, (3) understand why and how RL algorithms are designed to work, and (4) know how to experimentally and mathematically evaluate the effectiveness of an RL algorithm. There will be both programming and written assignments.
Prerequisite: CS 225; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406 or BIOE 210; one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400."
ACCY 559,
PSYC 453/NEUR 453,"Credit: 3 OR 4 hours.
Course Description: Overview of the neuroscience of the visual system, the eye and subcortical structures, with a focus on the visual cortex and higher-level vision (e.g. attention and object perception).
Prerequisite: PSYC 210, PSYC 220, PSYC 224, PSYC 230 or consent of instructor."
GWS 337,
ETMA 311,"Credit: 3 hours.
Course Description: The human food web is the complex network of technologies, environments, people, and social institutions that produces, processes, and distributes the world's food supply. Students will study the food webs of the past, present, and future and will explore various human roles, including their own, in the global technology-environment-society-food system. Course topics include domestication, mechanization, urbanization, the green revolution, biotechnology, food safety, the environment, and appropriate technologies for developing countries.
"
CS 598,"Credit: 2 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
CHLH 494,"Credit: 1 TO 4 hours.
Course Description: Lecture course in topics of current interest; specific subject matter announced in the Class Schedule.
"
RST 340,"Credit: 3 hours.
Course Description: Basic understanding of park operations, facility design, construction, and maintenance practices; staff allocations, job analysis, contract administration, organizational structures.
Prerequisite: RST 100."
LER 200,"Credit: 3 hours.
Course Description: Is globalization good for working people in the United States and around the world? Globalization is the driving force in the world economy but it is also provoking tremendous debate and popular resistance. Students will learn the basics about globalization and its institutions from the perspective of workers' right in the U.S. and the Third World. Analyzes the debate over free trade and sweatshops, trade agreements such as the North American Free Trade Agreement, and institutions such as the World Trade Organization and the International Monetary Fund. Closely examines working conditions in several Third World countries, and explores the role of the global justice movement.
"
FSHN 345,"Credit: 3 hours.
Course Description: Intended to promote an understanding of the managerial aspects of strategic operations. Strategic operations management examines facilities, capacity, process/work-force planning, organization, people, systems integration, and coordination between operations. An introduction to the principles and procedures for the purchasing, selection and procurement of food and non-food items in the hospitality industry is also included. Provides students with the management information needed to make operational decisions based on sound criteria.
"
EPOL 472,"Credit: 3 OR 4 hours.
Course Description: Provides instruction and practice in the selection, organization, and preparation of content for instructional programs in business and technical settings. Provides students with a theoretical orientation to instructional design as well as the opportunity to experience the instructional design process as it applies to business and technical settings through the development of instructional materials.
"
CEE 575/AE 521,
SCAN 101,"Credit: 4 hours.
Course Description: First course in the Scandinavian language sequence (usually Swedish). Instruction is by immersion, emphasis is on basic skills: reading, writing, speaking, and aural comprehension.
"
IS 590,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of information foundations, intended to augment the existing Information Sciences curricula.
"
CINE 495,
BIOC 460,"Credit: 3 hours.
Course Description: Writing intensive course dealing with the technical literature, current issues, and current advances in Biochemistry.
Prerequisite: Completion of the Campus Composition I general education requirement; MCB 354 and BIOC 455, or consent of instructor."
ACE 446,"Credit: 2 hours.
Course Description: Improves ability to make effective financial plans and decisions. Involves development of decision tools that are applied to ""real world"" financial data sets and planning/decision-making circumstances. Topics include applied data management techniques (designing queries/storable forms), financial statement analysis, numeric optimization tools, leverage assessment, incorporating risk in decisions, capital budgeting and time value of money, term structure of interest rates, and currency exchange.
Prerequisite: One of ACE 240, ACE 345, FIN 221; or consent of instructor and advanced knowledge of spreadsheet software equivalent to the coverage of ACE 360."
ME 199,"Credit: 1 TO 5 hours.
Course Description: 
"
MSE 460,"Credit: 3 hours.
Course Description: Materials science, engineering, and processing of semiconductors. Semiconductor structure and chemistry relationships to electronic and optical properties. Control of processing to achieve desired properties; design and production of novel materials.
Prerequisite: ECE 340; MSE 304 or PHYS 460."
PHYS 280/GLBL 280,"Credit: 3 hours.
Course Description: Nontechnical analysis of the physics of nuclear weapons, nuclear weapon effects, delivery systems, and defenses against nuclear attack; presentation of current issues; basis for making informed judgments about nuclear armaments and arms control.
"
ABE 224,"Credit: 2 hours.
Course Description: Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution.
Prerequisite: One of MATH 220, MATH 221, MATH 234."
TE 565,"Credit: 2 hours.
Course Description: Concepts and frameworks for analyzing how firms can create, commercialize and capture value from technology-based products and services. Business, commercialization, and management aspects of technology. Emphasis on reasons that existing firms or startups which have successfully commercialized products or services fail to sustain their success as technology changes and evolves.
"
ECON 484,"Credit: 2 TO 4 hours.
Course Description: Applications of economic theory to problems and issues in both civil and criminal law and the effect of legal rules on the allocation of resources; includes property rights, liability and negligence assignment, the use of administrative and common law to mitigate market failure, and the logic of private versus public law enforcement.
Prerequisite: ECON 302 or equivalent."
LAW 302,"Credit: 3 hours.
Course Description: Wrongdoing is part of the history of many, if not most, political communities around the globe. This course examines the moral questions that dealing with past wrongdoing raise. Our focus is specifically on political wrongdoing, that is, wrongdoing inflicted on individuals by the state or groups contesting the state. Such wrongdoing has taken different forms, from slavery, to forced disappearances, to programs of torture and of land appropriation. We also focus on two specific political contexts: the United States and South Africa. In this course, we survey a range of legal measures including criminal punishment, truth commissions, reparations, and apology, that have been, and can be used, to deal with legacies of wrongdoing. Not available for Graduate or Professional credit.
"
MBA 504,
ACCY 301,"Credit: 3 hours.
Course Description: Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes.
Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors."
HIST 100,"Credit: 3 hours.
Course Description: Broad introduction to global history, by exploring the global structures and transnational forces that have shaped human history, from the emergence of agriculture and urban centers to our contemporary global village.
"
ALEC 491,"Credit: 1 hours.
Course Description: Covers theory and practice of adult motivation designed for optimizing learning specifically for training and development contexts within the broad food, agricultural, natural resources, and environmental (FANRE) employment sectors. This course includes theories and concepts fundamental to understanding: what motivation is, factors that affect human motivation, and how to effectively apply motivational principles within rigorous training and education sessions. This course also explores the roles of emotion, culture, and human socialization principles applied to motivational contexts.
Prerequisite: ALEC 490."
IS 526,
MACS 262,"Credit: 3 hours.
Course Description: This course surveys world cinema from the 1940s to the present day. We consider the history of film from stylistic, cultural, institutional, and technological perspectives in lectures, discussions, and screenings of a diverse selection of classic films. Students gain a foundation in cinematic history and form, preparing them for advanced cinema studies courses.
"
LAW 794,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing in business law for specialty topics of current interest.
"
SHS 222/EPSY 222,"Credit: 3 hours.
Course Description: Students will learn about culture and how it is manifested in various subgroups of society with a particular focus on the culture and language of Deaf people in the United States. Themes include: the linguistics of American Sign Language, aspects of social unity for Deaf people, common experiences of Deaf individuals, the educational system and Deaf students, and current issues that affect the Deaf community. For those students requiring 4 semesters of language other than English credit (LAS or BUS), SHS 222 can be used as the fourth course in the American Sign Language sequence that includes SHS 121, 221, and 321 to fulfill that requirement but cannot also then be used for Gen Ed requirements.
"
THEA 270,"Credit: 3 hours.
Course Description: Behavior in stage performance explored on the basis of the actor's relationship with self, with objects, and with other players; emphasizes analysis of playscript to discover action, environment, and relationships.
Prerequisite: THEA 175 or consent of instructor."
ARTH 299,"Credit: 3 hours.
Course Description: Special topics in Art History Courses. Topics and subject matter to be published in course listings.
Prerequisite: Sophomore standing in Art and Design."
BUS 301,"Credit: 3 hours.
Course Description: Introduces students to the complexities of business by working on a real organizational problem with an actual client. Students will work with a client to identify, analyze, and present recommendations to solve an organizational problem. Requires students to apply problem-solving skills to uncertain situations as well as build and manage a professional team.
Prerequisite: BUS 201-Business Dynamics."
ACCY 415,
BIOE 498,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
HDFS 199,"Credit: 1 TO 5 hours.
Course Description: Experimental course on a special topic in human development and family studies.
"
KIN 199,"Credit: 0 TO 5 hours.
Course Description: Topics will vary each semester. Please see section topic.
"
HRE 530,
THEA 271,"Credit: 2 hours.
Course Description: Fundamental development of vocal production as connected to body awareness and movement for the actor. Various exercised, conditioning, and training methods are used.
Prerequisite: THEA 175 or consent of instructor."
ETMA 372,"Credit: 3 hours.
Course Description: Introduction to heating, ventilating, and air-conditioning (HVAC) systems for building environment control. Topics include: psychrometrics, basic calculation of heating and cooling loads, human comfort and ventilation requirements, typical HVAC and control systems.
"
IS 582,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of Librarianship, intended to augment the existing Information Sciences curricula.
"
ACE 398,"Credit: 1 to 3 hours.
Course Description: Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics.
Prerequisite: Junior standing and consent of instructor."
HIST 373,
ENGL 300,
CMN 375,"Credit: 3 hours.
Course Description: Using the critical lens of theories on race, class, gender, and sexuality, this class will investigate the complicated relations among popular media and culture, including how our everyday life and attitudes are thought to be shaped by the media, and how cultural systems can be said to inform the media. By exploring a wide range of media (e.g., film, television, music, the internet, and computer games), students will investigate the national, political, and personal dimensions of popular media and the varied ways in which media construct, reflect and intersect with specific cultural systems, identities, and classifications.
"
ABE 341,"Credit: 3 hours.
Course Description: Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment.
Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213."
GWS 350,"Credit: 3 hours.
Course Description: Interdisciplinary survey of feminist and gender theory. Traces developments in feminist theory and LGBT/Q approaches and explores contemporary debates.
"
CS 538,"Credit: 4 hours.
Course Description: Advanced concepts in computer networks, including congestion control, quality of service, naming, routing, wireless networks, Internet architecture, measurement, network security, and selected recent research directions.
Prerequisite: CS 438 or ECE 438."
ECE 498,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
ENGL 270,"Credit: 3 hours.
Course Description: Introduction to the study of the dominant genres or types U.S. cinema. Examines the elements that constitute genres (such as visual and narrative patterns), the formation and reshaping of genres by filmmakers and the entertainment industry, the social and cultural factors that influence the genre cycles and subgenres, and the landmark works of each genre. The course treats several genres in historical perspective or focus on a single genre.
"
IS 202,"Credit: 3 hours.
Course Description: Explores the way in which information technologies have and are transforming society and how these affect a range of social, political and economic issues from the individual to societal levels.
"
ECON 490,"Credit: 3 OR 4 hours.
Course Description: Special topics in advanced economics within a variety of areas. See course schedule for topics.
Prerequisite: ECON 202; ECON 302 or ECON 303; MATH 220 or MATH 221 or other Calculus course. Some topics may require additional prerequisites, read the section text for each topic."
PHIL 421,"Credit: 3 OR 4 hours.
Course Description: Systematic study of selected classics in moral philosophy by such philosophers as Aristotle, Hume, Mill, Kant, and Nietzsche.
Prerequisite: One course in philosophy."
PSYC 396,"Credit: 0 TO 3 hours.
Course Description: Intermediate treatment of current topics in the field of psychology.
Prerequisite: PSYC 100 or consent of instructor; particular sections may have additional 200-level prerequisites."
ARTE 101,"Credit: 2 hours.
Course Description: This course provides an introductory forum for beginning artists, designers, art historians, and art educators to think through the motivation(s) behind their/our creative work(s), research, and practices. Through topical examinations of contemporary art, craft, design, art history scholarship, art education scholarship, and interdisciplinary projects, developing artists will sift through pertinent issues around sustainability, ethics, ecologies, pedagogies, and civic engagement in order to inform our own burgeoning motivations and creative practices.
Prerequisite: For Art+Design majors only."
GE 361,
IB 494,
ARTS 499,"Credit: 1 to 4 hours.
Course Description: Special topics in studio arts. Topics and subject matter to be published in course listings.
Prerequisite: Restricted to students with Junior standing."
LER 590,"Credit: 0 TO 8 hours.
Course Description: Students in labor and industrial relations may register for this unit with the consent of the curriculum adviser and the adviser under whom the student will perform individual study or research. Such individual work may include special study in a subject matter for which no course is available or an individual research project, including on-the-job research in industry, which is not being undertaken for a thesis.
"
ACCY 511,
ETMA 233,"Credit: 3 hours.
Course Description: Selecting and using metal-arc, inert-gas, submerged arc, oxyacetylene welding and plasma cutting processes for construction and maintenance. Includes laboratory.
"
FIN 580,"Credit: 0 TO 4 hours.
Course Description: Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites.
Prerequisite: Varies by section."
PS 300,"Credit: 3 hours.
Course Description: Selected readings and research in political science. See Class Schedule for current topics.
Prerequisite: Six hours of political science, or consent of instructor."
RST 199,"Credit: 1 TO 5 hours.
Course Description: Covering various topics for undergraduates in Recreation, Sport & Tourism.
"
GGIS 407,"Credit: 4 hours.
Course Description: Intended to introduce students to CyberGIS – Geospatial Information Science and Systems (GIS) based on advanced cyberinfrastructure as well as the state of the art in high-performance computing, big data, and cloud computing in the context of geospatial data science. Students will use CyberGISX, which is an innovative cyberGIS framework for conducting data-intensive, reproducible, and scalable geospatial analytics with Jupyter Notebook as its primary user environment. Students are expected to learn how to develop Jupyter notebooks to analyze and visualize geospatial data using leading-edge cyberGIS software and python libraries. Emphasis is placed on learning the cutting-edge advances of cyberGIS and its underlying geospatial data science principles.
"
FIN 536,
ABE 223,"Credit: 2 hours.
Course Description: Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting.
Prerequisite: One of MATH 220, MATH 221, MATH 234."
IE 523,"Credit: 4 hours.
Course Description: Review of C++ programming: structures, classes, I/O, C++ standard libraries, Recursion. Linear Algebra tools and MILP solvers in C++. Computational aspects of probability, statistics and simulation in C++. Methods: Root-finding, Taylor's Expansion, FFTs, Dynamic Programming, Monte Carlo Methods. Financial computing case studies in C++.
Prerequisite: CS 225."
MACS 372,"Credit: 3 hours.
Course Description: Examines the practice of writing for the screen. Students will better understand the fundamentals of visual storytelling and learn standard formats of screenwriting. In a classroom environment that combines lecture, screening, film analysis, and workshop discussion of students' work, the student will be exposed to a wide variety of concepts related to the preparation and writing of the screenplay. Special emphasis will be given to the ideas of plot structure and character development, the two pillars on which the screenplay is built. This intensive scriptwriting class is intended to 1.) help students create a variety of writing tools and short scenes that will serve as the building blocks for 2.) constructing, writing and revising a short narrative screenplay. Issues of industry professionalization with regard to screenwriting will also be covered.
"
EPOL 525,"Credit: 4 hours.
Course Description: Discusses youth and citizenship in a global context. Covers the social construction of children and youth, the sociology of global generations, education and social media, and new youth movements in the digital age. Draws on a diversity of case studies from North America, the Middle East and North Africa, sub-Saharan Africa, Europe and Latin America.
"
ARTD 499,"Credit: 1 TO 4 hours.
Course Description: Topics and subject matter to be published in course listings.
Prerequisite: Senior standing or consent of instructor."
MACS 391,"Credit: 0 TO 3 hours.
Course Description: Individual research and exploration of media and cinema studies topics under the guidance of a faculty advisor.
Prerequisite: Consent of instructor."
EPS 412,
MATH 231,"Credit: 3 hours.
Course Description: Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series.
Prerequisite: MATH 220 or MATH 221."
KIN 365/AHS 365/CHLH 365/RST 365/SHS 370,"Credit: 3 hours.
Course Description: Provides scholarly knowledge and practical experience related to environmental, intellectual, physical, psychological, spiritual, and social wellness. Students acquire leadership and real-world skills while working in teams to develop and implement projects that facilitate health and well-being in the population of adults living in the community. Projects emphasize integrative learning and are showcased in both written and oral formats.
"
CS 598,"Credit: 2 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
EIL 460/EPSY 487/FR 460/GER 460/ITAL 460/PORT 460/SLS 460/SPAN 460,"Credit: 3 OR 4 hours.
Course Description: Studies theoretical and practical aspects of language testing. Examines purposes and types of language tests in relation to theories of language use and language teaching goals; discusses testing practices and procedures related to language teaching and language  research; and includes the planning, writing, and administration of tests, basic descriptive statistics, and test analysis. A project is required.
Prerequisite: EIL 489 or consent of instructor."
NRES 224,"Credit: 3 hours.
Course Description: Over the last 25 years, Environmental Justice (EJ) has expanded from its earliest focus combating environmental racism in the US to an influential global phenomenon. What is EJ and how do we realize it in public policy? Students in this course will examine environmental issues through the lens of social justice and human inequality. We explore how EJ makes connections between environmental (pollution, biodiversity, food, climate) and social justice issues (race, ethnicity, gender, class) in order to inform public policy and mitigate environmental problems.
"
AGED 430,"Credit: 3 OR 4 hours.
Course Description: Instruction in the youth development process, including learning; philosophy and purposes of youth development policies, programs, and organizations; relationships to organizational missions; principles and procedures for developing, coordinating, and implementing youth development programs; and examining research and practice in youth-at-risk initiatives.
Prerequisite: AGED 220, or HDFS 105, or PSYC 100."
PS 321/ACCY 321/ACE 321/BADM 303,"Credit: 3 hours.
Course Description: Examines different approaches to evaluating the performance of public sector organizations, including private sector accountability principles. Focuses on how to improve the performance of governmental agencies, as well as corporate social responsibility.
Prerequisite: PS 101, six hours of Political Science credit, or consent of instructor."
CHBE 424,"Credit: 3 hours.
Course Description: Chemical kinetics; chemical reactor design; the interrelationship between transport, thermodynamics, and chemical reaction in open and closed systems.
Prerequisite: Credit or registration in CHBE 422."
LAW 501,"Credit: 3 OR 4 hours.
Course Description: This course concerns itself with the laws, regulations, and customs that govern the legal profession in the United States, and considers those matters in the context of an increasingly globalized legal profession.
"
CHEM 524,"Credit: 4 hours.
Course Description: Structure of the metal solution interface. Electrochemical and physical methods for probing metal/solution interface. Electroanalysis. Principles of electrochemical instrumentation for electroanalysis. Electrode materials. Electrochemical surface science and electrocatalysis.
Prerequisite: General physics and chemistry equivalent to a major for a bachelor's degree."
PHIL 103,"Credit: 3 hours.
Course Description: Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.
"
GEOL 432,"Credit: 4 hours.
Course Description: Introduction to: crystallography; crystal optics; structure, composition, properties, stability and geological occurrences of minerals; and mineral identification.
Prerequisite: GEOL 208 and CHEM 104 and CHEM 105."
IS 445,"Credit: 3 OR 4 hours.
Course Description: Data visualization is crucial to conveying information drawn from models, observations or investigations. This course will provide an overview of historical and modern techniques for visualizing data, drawing on quantitative, statistical, and network-focused datasets. Topics will include construction of communicative visualizations, the modern software ecosystem of visualization, and techniques for aggregation and interpretation of data through visualization. Particular attention will be paid to the Python ecosystem and multi-dimensional quantitative datasets.
"
CMN 396,"Credit: 3 hours.
Course Description: Special topics in communication not treated in regularly scheduled courses. See Class Schedule for current topics.
"
ANTH 185,
ATMS 410,
ANSC 103,"Credit: 2 hours.
Course Description: Introductory course that will provide novice students with the fundamentals of animal-animal and animal-human interactions for domestic farm animals. Emphasizes hands-on experiences to develop a background in the concepts and practice of recognizing and understanding the animal's physiology and behavior, animal well being, and animal responses to human interactions.
Prerequisite: ANSC 100. Restricted to students in the Animal Sciences department. Not intended for First Time Freshman students."
GER 270/CWL 272,"Credit: 3 hours.
Course Description: Examination of the historical contexts in which sexuality has been debated during the past three centuries, and to what extent sexuality is perceived differently in diverse cultures. Part one will look at the Western tradition, especially Germany. Part two will shift focus to the non-Western world, especially to the colonial history of Indonesia.
"
ARTH 395,
MCB 170,"Credit: 3 hours.
Course Description: Presents recent findings concerning the brain-society interaction. The facts will span many levels, from molecular and cellular interactions, to the functions of specific brain regions, and on to the behaviors of individuals, groups and societies. Intended to bring a broad range of neurobiological data and ideas into an interesting and relevant context.
"
PSYC 363,"Credit: 4 hours.
Course Description: Provides students with a background in developmental research methodology, such as observational techniques used with children. Students will gain experience collecting data and learn how to write research papers.
Prerequisite: PSYC 216 and PSYC 235, or equivalent."
BADM 528,
PSYC 525/LING 525/MDIA 525,"Credit: 2 OR 4 hours.
Course Description: Critical survey of psychological research on language and communication; emphasis on psychological processes that allow humans to produce and understand speech, writing, and gesture.
Prerequisite: Consent of instructor."
ME 402,"Credit: 3 OR 4 hours.
Course Description: Selection of components in fluid- and energy-processing systems to meet system-performance requirements; computer-aided design; system simulation; optimization techniques; investment economics and statistical combinations of operating conditions.
Prerequisite: Credit or concurrent registration in ME 320."
FIN 412,"Credit: 3 hours.
Course Description: Introduction of options and futures markets for financial assets; examination of institutional aspects of the markets; theories of pricing; discussion of simple as well as complicated trading strategies (arbitrage, hedging and spread); applications for asset and risk management.
Prerequisite: FIN 300 or consent of instructor."
CS 196,
ECE 398,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
HIST 355/JS 355,
GEOG 110,
FSHN 595,"Credit: 1 to 4 hours.
Course Description: Studies of selected topics in Food Science. Study may be on specialized topics in any one of the following fields: food chemistry, food microbiology, nutrition, food processing/engineering. Lectures and/or laboratory.
Prerequisite: Graduate level status or consent of instructor."
CLCV 120,"Credit: 3 hours.
Course Description: Survey of the Greco-Roman tradition from late antiquity to the present. Examination of pagan culture in medieval Christianity and Islam, the literary tradition of the Troy tale, the rediscovery of Greek texts and the Florentine Renaissance, classical allusions in Shakespeare and Milton, the political foundation of the U.S. constitution, and the persistence of the classical tradition in contemporary American popular culture.
"
ECE 486,"Credit: 4 hours.
Course Description: Analysis and design of control systems with emphasis on modeling, state variable representation, computer solutions, modern design principles, and laboratory techniques.
Prerequisite: ECE 210."
ECON 442,"Credit: 3 hours.
Course Description: Applies economic models of the labor market and household organization to a wide range of important topics, including marriage, fertility, discrimination, and family policies to better understand both personal life choices and public policy problems.
Prerequisite: ECON 203; ECON 302; MATH 220 or 221 or other Calculus I equivalent; completion of campus Composition I general education requirement."
ANTH 268,"Credit: 3 hours.
Course Description: Do all peoples view neighboring or distant populations as radically different ""Others,"" or can humans create mutual images based on a notion of shared humanity? Course compares and analyzes the range of images of ethnic, ""racial,"" gender, class, and bodily differences that have been enacted historically and cross-culturally in both Western and non-Western populations.
Prerequisite: A previous course in history and/or one of the social sciences suggested."
CMN 496,"Credit: 3 OR 4 hours.
Course Description: Advanced topics in communication not treated in regularly scheduled courses; see Class Schedule for current topics.
"
BIOE 302,"Credit: 3 hours.
Course Description: Description, quantification, and modeling of human physiological systems, based on systems fundamentals. Components, relationships, and homeostatic controls of neural, musculoskeletal, respiratory, cardiovascular, endocrine, digestion, and renal-filtration systems. Application of mathematical modeling and MATLAB simulation to further understanding of the systems and relate physiological consequences to changes in environment or component function.
Prerequisite: BIOE 205 and one of MCB 252 or BIOE 206."
LAW 792,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing for specialty topics of current legal issues of interest.
"
SOCW 541,"Credit: 4 hours.
Course Description: Develops skills for assessing effectiveness of social work interventions using research methods. The course assumes students have had prior courses in research methods and statistical analysis. Building on these courses, this course will focus on the use of research methods in examining important aspects of social work interventions. Students will also develop skills necessary to evaluate social work research practice and practice evidence, as well as skills in grant writing and data analysis.
Prerequisite: SOCW 427 or equivalent."
CMN 396,"Credit: 3 hours.
Course Description: Special topics in communication not treated in regularly scheduled courses. See Class Schedule for current topics.
"
RUSS 323/CWL 323/ENGL 323,
GE 424,
BUS 199,"Credit: 0 TO 5 hours.
Course Description: 
"
ATMS 391,"Credit: 1 TO 3 hours.
Course Description: Special topics in atmospheric sciences at the undergraduate level. See Class Schedule for topics and prerequisites.
Prerequisite: ATMS 201. Consent of Instructor."
CWL 189,
LER 522,"Credit: 4 hours.
Course Description: Focuses on federal and state legislation, court and agency rulings, and executive orders that regulate a wide range of private and public employment practices including: Title VII and Affirmative Action Compliance; American with Disabilities Act; drug-, HIV-, and genetic testing; Fair Labor Standards Act; Civil Service procedures; Equal Pay Act, Family and Medical Leave Act, and employment-at-will; constitutional protection for employees, job-applicants, and others. Prerequisite: LER 547 or LER 591, or consent of instructor.
"
CEE 525,
EPOL 574,
EIL 456,
